IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.145.66.39,8080,8080,false,BOM,Asia Pacific,Mumbai,424,1.28
34.116.190.16,443,443,true,FRA,Europe,Frankfurt,294,1.22
34.65.35.144,443,443,true,FRA,Europe,Frankfurt,298,1.18
34.118.121.202,443,443,true,FRA,Europe,Frankfurt,359,1.15
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,278,1.13
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,301,1.08
34.89.181.9,443,443,true,FRA,Europe,Frankfurt,284,1.07
34.154.136.212,443,443,true,FRA,Europe,Frankfurt,299,1.02
34.118.28.145,443,443,true,FRA,Europe,Frankfurt,307,1.01
34.65.165.68,443,443,true,FRA,Europe,Frankfurt,291,0.98
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,290,0.93
34.89.156.87,443,443,true,FRA,Europe,Frankfurt,376,0.92
34.118.19.99,443,443,true,FRA,Europe,Frankfurt,317,0.91
34.118.61.6,443,443,true,FRA,Europe,Frankfurt,316,0.86
34.65.105.182,443,443,true,FRA,Europe,Frankfurt,286,0.85
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,290,0.79
34.116.181.8,443,443,true,FRA,Europe,Frankfurt,321,0.78
34.159.218.217,443,443,true,FRA,Europe,Frankfurt,292,0.76
34.118.44.227,443,443,true,FRA,Europe,Frankfurt,338,0.75
34.154.16.88,443,443,true,FRA,Europe,Frankfurt,538,0.70
34.90.79.250,443,443,true,FRA,Europe,Frankfurt,341,0.66
34.154.13.92,443,443,true,FRA,Europe,Frankfurt,289,0.66
34.154.16.42,443,443,true,FRA,Europe,Frankfurt,297,0.65
34.150.233.190,443,443,true,IAD,North America,Ashburn,213,0.62
34.86.193.161,443,443,true,IAD,North America,Ashburn,228,0.62
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,288,0.57
34.141.208.110,443,443,true,FRA,Europe,Frankfurt,308,0.55
35.204.133.67,443,443,true,FRA,Europe,Frankfurt,303,0.51
34.116.211.185,443,443,true,FRA,Europe,Frankfurt,359,0.48
34.116.180.92,443,443,true,FRA,Europe,Frankfurt,368,0.47
34.154.159.99,443,443,true,FRA,Europe,Frankfurt,290,0.47
34.65.113.146,443,443,true,FRA,Europe,Frankfurt,330,0.45
34.90.185.198,443,443,true,FRA,Europe,Frankfurt,303,0.43
34.118.25.40,443,443,true,FRA,Europe,Frankfurt,302,0.40
34.86.193.161,443,443,true,IAD,North America,Ashburn,213,0.39
34.34.6.210,443,443,true,FRA,Europe,Frankfurt,301,0.38
34.86.193.161,443,443,true,IAD,North America,Ashburn,214,0.36
34.150.233.190,443,443,true,IAD,North America,Ashburn,323,0.36
34.86.193.161,443,443,true,IAD,North America,Ashburn,313,0.36
34.35.36.97,2053,443,true,JNB,Africa,Johannesburg,377,0.36
34.35.36.97,8443,443,true,JNB,Africa,Johannesburg,380,0.36
34.35.36.97,2053,443,true,JNB,Africa,Johannesburg,399,0.36
34.35.36.97,8443,443,true,JNB,Africa,Johannesburg,378,0.36
34.90.237.95,443,443,true,FRA,Europe,Frankfurt,309,0.35
34.65.81.135,443,443,true,FRA,Europe,Frankfurt,295,0.35
34.107.14.208,443,443,true,FRA,Europe,Frankfurt,294,0.34
34.118.37.122,443,443,true,FRA,Europe,Frankfurt,297,0.32
34.154.143.101,443,443,true,FRA,Europe,Frankfurt,299,0.31
34.141.9.77,443,443,true,FRA,Europe,Frankfurt,250,0.30
34.65.35.144,443,443,true,FRA,Europe,Frankfurt,325,0.29
34.107.19.191,443,443,true,FRA,Europe,Frankfurt,294,0.28
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,299,0.26
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,305,0.26
34.118.37.122,443,443,true,FRA,Europe,Frankfurt,300,0.25
34.116.210.146,443,443,true,FRA,Europe,Frankfurt,409,0.25
34.116.198.138,443,443,true,FRA,Europe,Frankfurt,305,0.22
34.89.227.179,443,443,true,FRA,Europe,Frankfurt,281,0.22
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,312,0.22
34.65.176.90,443,443,true,FRA,Europe,Frankfurt,300,0.19
34.65.106.25,443,443,true,FRA,Europe,Frankfurt,328,0.19
34.154.172.28,443,443,true,FRA,Europe,Frankfurt,246,0.19
34.154.24.171,443,443,true,FRA,Europe,Frankfurt,290,0.18
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,364,0.18
34.65.24.103,443,443,true,FRA,Europe,Frankfurt,303,0.18
34.65.106.25,443,443,true,FRA,Europe,Frankfurt,300,0.17
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,309,0.17
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,331,0.16
34.116.249.186,443,443,true,FRA,Europe,Frankfurt,300,0.15
34.116.167.198,443,443,true,FRA,Europe,Frankfurt,357,0.14
34.65.81.135,443,443,true,FRA,Europe,Frankfurt,287,0.14
34.159.139.198,443,443,true,FRA,Europe,Frankfurt,293,0.13
34.65.7.63,443,443,true,FRA,Europe,Frankfurt,299,0.11
34.118.126.252,443,443,true,FRA,Europe,Frankfurt,328,0.11
34.116.167.198,443,443,true,FRA,Europe,Frankfurt,375,0.11
34.90.79.250,443,443,true,FRA,Europe,Frankfurt,332,0.11
34.154.54.15,443,443,true,FRA,Europe,Frankfurt,289,0.10
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,292,0.09
34.65.176.90,443,443,true,FRA,Europe,Frankfurt,283,0.08
34.116.179.255,443,443,true,FRA,Europe,Frankfurt,363,0.08
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,293,0.08
34.107.19.191,443,443,true,FRA,Europe,Frankfurt,292,0.07
34.89.156.87,443,443,true,FRA,Europe,Frankfurt,282,0.07
34.107.14.208,443,443,true,FRA,Europe,Frankfurt,323,0.07
34.65.24.103,443,443,true,FRA,Europe,Frankfurt,288,0.07
34.65.165.68,443,443,true,FRA,Europe,Frankfurt,286,0.06
34.116.203.90,443,443,true,FRA,Europe,Frankfurt,351,0.06
34.116.181.93,443,443,true,FRA,Europe,Frankfurt,298,0.05
34.90.34.13,443,443,true,FRA,Europe,Frankfurt,291,0.05
35.234.68.60,443,443,true,FRA,Europe,Frankfurt,352,0.05
34.154.59.27,443,443,true,FRA,Europe,Frankfurt,316,0.04
34.32.225.217,443,443,true,FRA,Europe,Frankfurt,301,0.04
34.90.185.198,443,443,true,FRA,Europe,Frankfurt,304,0.04
34.34.7.17,443,443,true,FRA,Europe,Frankfurt,293,0.04
34.118.50.168,443,443,true,FRA,Europe,Frankfurt,315,0.03
34.116.195.95,443,443,true,FRA,Europe,Frankfurt,304,0.03
34.118.25.40,443,443,true,FRA,Europe,Frankfurt,359,0.03
34.154.151.69,443,443,true,FRA,Europe,Frankfurt,271,0.02
34.89.227.179,443,443,true,FRA,Europe,Frankfurt,338,0.02
34.141.45.127,443,443,true,FRA,Europe,Frankfurt,301,0.02
34.116.182.166,443,443,true,FRA,Europe,Frankfurt,356,0.01
34.154.141.246,443,443,true,FRA,Europe,Frankfurt,288,0.01
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,296,0.01
34.154.232.108,443,443,true,FRA,Europe,Frankfurt,293,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,156,0.00
34.97.218.204,8443,443,true,KIX,Asia Pacific,Osaka,76,0.00
34.168.218.118,443,443,true,SEA,North America,Seattle,155,0.00
34.82.82.135,80,80,false,SEA,North America,Seattle,155,0.00
34.83.75.32,443,443,true,SEA,North America,Seattle,156,0.00
34.82.82.135,443,80,false,SEA,North America,Seattle,156,0.00
34.82.82.135,80,80,false,SEA,North America,Seattle,156,0.00
34.82.82.135,80,80,false,SEA,North America,Seattle,156,0.00
34.82.82.135,443,80,false,SEA,North America,Seattle,156,0.00
34.82.82.135,80,80,false,SEA,North America,Seattle,156,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,156,0.00
34.82.82.135,443,80,false,SEA,North America,Seattle,157,0.00
34.82.82.135,443,80,false,SEA,North America,Seattle,157,0.00
34.82.188.91,443,443,true,SEA,North America,Seattle,157,0.00
34.105.49.234,443,443,true,SEA,North America,Seattle,179,0.00
34.70.91.86,443,443,true,ORD,North America,Chicago,205,0.00
34.67.45.105,443,443,true,ORD,North America,Chicago,206,0.00
35.199.27.229,443,443,true,IAD,North America,Ashburn,211,0.00
35.228.77.188,8080,80,false,ARN,Europe,Stockholm,260,0.00
34.89.227.179,443,443,true,FRA,Europe,Frankfurt,286,0.00
34.65.7.63,443,443,true,FRA,Europe,Frankfurt,286,0.00
34.65.67.253,443,443,true,FRA,Europe,Frankfurt,286,0.00
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,287,0.00
34.154.236.234,443,443,true,FRA,Europe,Frankfurt,288,0.00
34.65.35.144,443,443,true,FRA,Europe,Frankfurt,288,0.00
34.90.120.205,443,443,true,FRA,Europe,Frankfurt,291,0.00
34.65.7.63,443,443,true,FRA,Europe,Frankfurt,295,0.00
34.116.208.99,443,443,true,FRA,Europe,Frankfurt,302,0.00
34.118.68.119,443,443,true,FRA,Europe,Frankfurt,324,0.00
34.65.133.120,443,443,true,FRA,Europe,Frankfurt,338,0.00
34.116.138.196,443,443,true,FRA,Europe,Frankfurt,355,0.00
34.65.19.239,443,443,true,FRA,Europe,Frankfurt,501,0.00
